roomA,1508109977.66,400
150.810996642,1008.47338867,39.3521842957,30.5816993713
150.810996643,1008.47338867,39.3521842957,30.5816993713
150.810996643,1008.47363281,39.3521842957,30.5816993713
150.810996643,1008.47363281,39.3521842957,30.5816993713
150.810996644,1008.47363281,39.3521842957,30.5816993713
150.810996644,1008.47363281,39.3521842957,30.5816993713
150.810996644,1008.47363281,39.3521842957,30.5816993713
150.810996644,1008.47363281,39.3521842957,30.5816993713
150.810996644,1008.47363281,39.3521842957,30.5816993713
150.810996645,1008.47363281,39.3521842957,30.5816993713
150.810996645,1008.47363281,39.3521842957,30.5816993713
150.810996645,1008.47363281,39.3521842957,30.5816993713
150.810996645,1008.47363281,39.3521842957,30.6173210144
150.810996646,1008.47363281,39.335849762,30.6173210144
150.810996646,1008.47363281,39.335849762,30.6173210144
150.810996646,1008.47363281,39.335849762,30.6173210144
150.810996646,1008.47363281,39.335849762,30.6173210144
150.810996647,1008.47363281,39.335849762,30.6173210144
150.810996647,1008.47363281,39.335849762,30.6173210144
150.810996647,1008.47485352,39.335849762,30.6173210144
150.810996647,1008.47485352,39.335849762,30.6173210144
150.810996648,1008.47485352,39.335849762,30.6173210144
150.810996648,1008.47485352,39.335849762,30.6173210144
150.810996648,1008.47485352,39.335849762,30.6173210144
150.810996648,1008.47485352,39.335849762,30.6173210144
150.810996649,1008.47485352,39.335849762,30.6173210144
150.810996649,1008.47485352,39.335849762,30.6173210144
150.810996649,1008.47485352,39.335849762,30.6173210144
150.810996649,1008.47485352,39.335849762,30.6173210144
150.810996649,1008.47485352,39.335849762,30.6173210144
150.81099665,1008.47485352,39.335849762,30.6173210144
150.81099665,1008.47485352,39.335849762,30.6173210144
150.81099665,1008.47485352,39.335849762,30.6173210144
150.81099665,1008.47485352,39.335849762,30.6173210144
150.810996651,1008.47485352,39.335849762,30.6173210144
150.810996651,1008.47485352,39.335849762,30.6173210144
150.810996651,1008.47314453,39.335849762,30.6173210144
150.810996651,1008.47314453,39.335849762,30.6173210144
150.810996652,1008.47314453,39.335849762,30.6173210144
150.810996652,1008.47314453,39.335849762,30.6173210144
150.810996652,1008.47314453,39.335849762,30.6173210144
150.810996652,1008.47314453,39.335849762,30.6173210144
150.810996653,1008.47314453,39.335849762,30.6173210144
150.810996653,1008.47314453,39.335849762,30.6173210144
150.810996653,1008.47314453,39.335849762,30.6173210144
150.810996653,1008.47314453,39.335849762,30.6173210144
150.810996654,1008.47314453,41.6422576904,30.6173210144
150.810996654,1008.47314453,41.6422576904,30.6173210144
150.810996654,1008.47314453,41.6422576904,30.6173210144
150.810996654,1008.47314453,41.6422576904,30.6173210144
150.810996654,1008.47314453,41.6422576904,30.6173210144
150.810996655,1008.47314453,41.6422576904,30.6173210144
150.810996655,1008.47314453,41.6422576904,30.6173210144
150.810996655,1008.47436523,41.6422576904,30.6173210144
150.810996656,1008.47436523,41.6422576904,30.6173210144
150.810996656,1008.47436523,41.6422576904,30.6173210144
150.810996656,1008.47436523,41.6422576904,30.6173210144
150.810996656,1008.47436523,41.6422576904,30.6173210144
150.810996656,1008.47436523,41.6422576904,30.6173210144
150.810996657,1008.47436523,41.6422576904,30.6173210144
150.810996657,1008.47436523,41.6422576904,30.6173210144
150.810996657,1008.47436523,41.6422576904,30.6173210144
150.810996657,1008.47436523,41.6422576904,30.6173210144
150.810996658,1008.47436523,41.6422576904,30.6173210144
150.810996658,1008.47436523,41.6422576904,30.6173210144
150.810996658,1008.47436523,41.6422576904,30.6173210144
150.810996658,1008.47436523,41.6422576904,30.6173210144
150.810996658,1008.47436523,41.6422576904,30.6173210144
150.810996659,1008.47436523,41.6422576904,30.6173210144
150.810996659,1008.47436523,41.6422576904,30.6173210144
150.810996659,1008.47436523,41.6422576904,30.6173210144
150.810996659,1008.47924805,41.6422576904,30.6173210144
150.81099666,1008.47924805,41.6422576904,30.6173210144
150.81099666,1008.47924805,41.6422576904,30.6173210144
150.81099666,1008.47924805,41.6422576904,30.6173210144
150.81099666,1008.47924805,41.6422576904,30.6173210144
150.810996661,1008.47924805,41.6422576904,30.6173210144
150.810996661,1008.47924805,41.6422576904,30.6173210144
150.810996661,1008.47924805,41.6422576904,30.7063713074
150.810996661,1008.47924805,39.5155296326,30.7063713074
150.810996662,1008.47924805,39.5155296326,30.7063713074
150.810996662,1008.47924805,39.5155296326,30.7063713074
150.810996662,1008.47924805,39.5155296326,30.7063713074
150.810996662,1008.47924805,39.5155296326,30.7063713074
150.810996663,1008.47924805,39.5155296326,30.7063713074
150.810996663,1008.47924805,39.5155296326,30.7063713074
150.810996663,1008.47924805,39.5155296326,30.7063713074
150.810996663,1008.47924805,39.5155296326,30.7063713074
150.810996663,1008.47558594,39.5155296326,30.7063713074
150.810996664,1008.47558594,39.5155296326,30.7063713074
150.810996664,1008.47558594,39.5155296326,30.7063713074
150.810996664,1008.47558594,39.5155296326,30.7063713074
150.810996665,1008.47558594,39.5155296326,30.7063713074
150.810997553,1009.29077148,39.6554985046,30.9440517426
150.810997555,1009.28857422,39.6554985046,30.9440517426
150.810997555,1009.28857422,39.6554985046,30.9440517426
150.810997555,1009.28857422,39.6554985046,30.9440517426
150.810997555,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997556,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997557,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997558,1009.28857422,39.6554985046,30.9440517426
150.810997559,1009.28857422,39.6554985046,30.9440517426
150.810997559,1009.28955078,39.6554985046,30.9440517426
150.810997559,1009.28955078,39.6554985046,30.8891124725
150.810997559,1009.28955078,39.6554985046,30.8891124725
150.810997559,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.81099756,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997561,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997562,1009.28955078,38.4842643738,30.8891124725
150.810997563,1009.28955078,38.4842643738,30.8891124725
150.810997563,1009.28955078,38.4842643738,30.8891124725
150.810997563,1009.29223633,38.4842643738,30.8891124725
150.810997563,1009.29223633,38.4842643738,30.8891124725
150.810997563,1009.29223633,38.4842643738,30.8891124725
150.810997563,1009.29223633,38.4842643738,30.8891124725
150.810997563,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997564,1009.29223633,38.4842643738,30.8891124725
