roomA,1508110940.09,800
150.811092758,1008.47314453,40.4661865234,30.5638885498
150.811092758,1008.47314453,40.4661865234,30.5638885498
150.811092758,1008.47314453,40.4661865234,30.5638885498
150.811092758,1008.47314453,40.4661865234,30.5638885498
150.811092758,1008.47314453,40.4661865234,30.5638885498
150.811092759,1008.47314453,40.4661865234,30.5638885498
150.811092759,1008.47314453,40.4661865234,30.5638885498
150.811092759,1008.47314453,40.4661865234,30.5638885498
150.811092759,1008.47314453,40.4661865234,30.5638885498
150.81109276,1008.47314453,40.4661865234,30.5638885498
150.81109276,1008.47314453,40.4661865234,30.5638885498
150.81109276,1008.47314453,40.4661865234,30.5638885498
150.81109276,1008.47314453,40.4661865234,30.5638885498
150.81109276,1008.47314453,40.4661865234,30.5638885498
150.811092761,1008.47314453,40.4661865234,30.759803772
150.811092761,1008.46875,42.0146789551,30.759803772
150.811092761,1008.46875,42.0146789551,30.759803772
150.811092762,1008.46875,42.0146789551,30.759803772
150.811092762,1008.46875,42.0146789551,30.759803772
150.811092762,1008.46875,42.0146789551,30.759803772
150.811092762,1008.46875,42.0146789551,30.759803772
150.811092763,1008.46875,42.0146789551,30.759803772
150.811092763,1008.46875,42.0146789551,30.759803772
150.811092763,1008.46875,42.0146789551,30.759803772
150.811092763,1008.46875,42.0146789551,30.759803772
150.811092763,1008.46875,42.0146789551,30.759803772
150.811092764,1008.46875,42.0146789551,30.759803772
150.811092764,1008.46875,42.0146789551,30.759803772
150.811092764,1008.46875,42.0146789551,30.759803772
150.811092764,1008.46875,42.0146789551,30.759803772
150.811092765,1008.46875,42.0146789551,30.759803772
150.811092765,1008.46875,42.0146789551,30.759803772
150.811092765,1008.47119141,42.0146789551,30.759803772
150.811092765,1008.47119141,42.0146789551,30.759803772
150.811092766,1008.47119141,42.0146789551,30.759803772
150.811092766,1008.47119141,42.0146789551,30.759803772
150.811092766,1008.47119141,42.0146789551,30.759803772
150.811092766,1008.47119141,42.0146789551,30.759803772
150.811092766,1008.47119141,42.0146789551,30.759803772
150.811092767,1008.47119141,42.0146789551,30.759803772
150.811092767,1008.47119141,42.0146789551,30.759803772
150.811092767,1008.47119141,42.0146789551,30.759803772
150.811092767,1008.47119141,42.0146789551,30.759803772
150.811092768,1008.47119141,42.0146789551,30.759803772
150.811092768,1008.47119141,42.0146789551,30.759803772
150.811092768,1008.47119141,42.0146789551,30.759803772
150.811092768,1008.47119141,42.0146789551,30.759803772
150.811092768,1008.47119141,42.0146789551,30.6173210144
150.811092769,1008.47119141,38.0552406311,30.6173210144
150.811092769,1008.47192383,38.0552406311,30.6173210144
150.811092769,1008.47192383,38.0552406311,30.6173210144
150.81109277,1008.47192383,38.0552406311,30.6173210144
150.81109277,1008.47192383,38.0552406311,30.6173210144
150.81109277,1008.47192383,38.0552406311,30.6173210144
